--- [ORDER INDEPENDENCE GAUNTLET v0.6.2] ---
Starting Head-to-Head Brutality Test: 3 Shuffled Batches

>>> INDEPENDENCE RUN 1/3 Starting...
--- [ROUND vs GRU: PHASE ANGLE LOCK TEST] ---
Order: ['UNIVERSAL', 'RESONANCE', 'SYMMETRY', 'TOPOLOGY', 'MONISM', 'COGITATING']
Epochs: 12500 | ROUND Hidden: 64 | GRU Hidden: 256
E    0 | R: 0.02 | G: 0.00
E  100 | R: 0.19 | G: 0.11
E  200 | R: 0.19 | G: 0.19
E  300 | R: 0.19 | G: 0.19
E  400 | R: 0.19 | G: 0.19
E  500 | R: 0.19 | G: 0.19
E  600 | R: 0.19 | G: 0.19
E  700 | R: 0.19 | G: 0.19
E  800 | R: 0.19 | G: 0.19
E  900 | R: 0.19 | G: 0.19
E 1000 | R: 0.19 | G: 0.19
E 1100 | R: 0.19 | G: 0.19
E 1200 | R: 0.19 | G: 0.19
E 1300 | R: 0.19 | G: 0.19
E 1400 | R: 0.19 | G: 0.19
E 1500 | R: 0.19 | G: 0.19
E 1600 | R: 0.19 | G: 0.19
E 1700 | R: 0.19 | G: 0.19
E 1800 | R: 0.19 | G: 0.19
E 1900 | R: 0.19 | G: 0.19
E 2000 | R: 0.19 | G: 0.19
E 2100 | R: 0.19 | G: 0.11
E 2200 | R: 0.34 | G: 0.33
E 2300 | R: 0.35 | G: 0.35
E 2400 | R: 0.33 | G: 0.37
E 2500 | R: 0.35 | G: 0.37
E 2600 | R: 0.33 | G: 0.35
E 2700 | R: 0.35 | G: 0.35
E 2800 | R: 0.37 | G: 0.35
E 2900 | R: 0.33 | G: 0.37
E 3000 | R: 0.33 | G: 0.35
E 3100 | R: 0.33 | G: 0.35
E 3200 | R: 0.33 | G: 0.35
E 3300 | R: 0.33 | G: 0.35
E 3400 | R: 0.33 | G: 0.35
E 3500 | R: 0.33 | G: 0.35
E 3600 | R: 0.33 | G: 0.35
E 3700 | R: 0.33 | G: 0.35
E 3800 | R: 0.33 | G: 0.35
E 3900 | R: 0.33 | G: 0.35
E 4000 | R: 0.33 | G: 0.35
E 4100 | R: 0.35 | G: 0.35
E 4200 | R: 0.22 | G: 0.33
E 4300 | R: 0.47 | G: 0.50
E 4400 | R: 0.50 | G: 0.50
E 4500 | R: 0.46 | G: 0.52
E 4600 | R: 0.50 | G: 0.50
E 4700 | R: 0.52 | G: 0.50
E 4800 | R: 0.52 | G: 0.50
E 4900 | R: 0.52 | G: 0.50
E 5000 | R: 0.52 | G: 0.50
E 5100 | R: 0.52 | G: 0.50
E 5200 | R: 0.54 | G: 0.50
E 5300 | R: 0.50 | G: 0.50
E 5400 | R: 0.47 | G: 0.50
E 5500 | R: 0.50 | G: 0.50
E 5600 | R: 0.50 | G: 0.52
E 5700 | R: 0.50 | G: 0.52
E 5800 | R: 0.52 | G: 0.52
E 5900 | R: 0.52 | G: 0.52
E 6000 | R: 0.52 | G: 0.52
E 6100 | R: 0.52 | G: 0.52
E 6200 | R: 0.52 | G: 0.52
E 6300 | R: 0.49 | G: 0.61
E 6400 | R: 0.63 | G: 0.63
E 6500 | R: 0.65 | G: 0.67
E 6600 | R: 0.69 | G: 0.65
E 6700 | R: 0.67 | G: 0.65
E 6800 | R: 0.69 | G: 0.65
E 6900 | R: 0.69 | G: 0.65
E 7000 | R: 0.67 | G: 0.65
E 7100 | R: 0.69 | G: 0.65
E 7200 | R: 0.67 | G: 0.67
E 7300 | R: 0.67 | G: 0.67
E 7400 | R: 0.69 | G: 0.67
E 7500 | R: 0.67 | G: 0.67
E 7600 | R: 0.69 | G: 0.67
E 7700 | R: 0.67 | G: 0.67
E 7800 | R: 0.69 | G: 0.67
E 7900 | R: 0.69 | G: 0.67
E 8000 | R: 0.67 | G: 0.67
E 8100 | R: 0.67 | G: 0.67
E 8200 | R: 0.67 | G: 0.67
E 8300 | R: 0.67 | G: 0.67
E 8400 | R: 0.69 | G: 0.72
E 8500 | R: 0.83 | G: 0.81
E 8600 | R: 0.85 | G: 0.81
E 8700 | R: 0.83 | G: 0.81
E 8800 | R: 0.81 | G: 0.81
E 8900 | R: 0.83 | G: 0.81
E 9000 | R: 0.83 | G: 0.81
E 9100 | R: 0.83 | G: 0.81
E 9200 | R: 0.83 | G: 0.81
E 9300 | R: 0.85 | G: 0.81
E 9400 | R: 0.83 | G: 0.81
E 9500 | R: 0.83 | G: 0.81
E 9600 | R: 0.83 | G: 0.81
E 9700 | R: 0.83 | G: 0.81
E 9800 | R: 0.83 | G: 0.81
E 9900 | R: 0.83 | G: 0.81
E 10000 | R: 0.83 | G: 0.81
E 10100 | R: 0.83 | G: 0.81
E 10200 | R: 0.83 | G: 0.81
E 10300 | R: 0.83 | G: 0.81
E 10400 | R: 0.83 | G: 0.83
E 10500 | R: 0.94 | G: 0.96
E 10600 | R: 1.00 | G: 0.96
E 10700 | R: 1.00 | G: 0.96
E 10800 | R: 1.00 | G: 0.98
E 10900 | R: 1.00 | G: 0.96

!!! [NOISE STORM INITIATED] Epoch 11000: Interference Level 0.5 (Max 50% Corruption) !!!
E 11000 | R: 1.00 | G: 0.98
E 11100 | R: 1.00 | G: 0.80
E 11200 | R: 1.00 | G: 0.87
E 11300 | R: 1.00 | G: 0.79
E 11400 | R: 1.00 | G: 0.92
E 11500 | R: 1.00 | G: 0.92
E 11600 | R: 1.00 | G: 0.92
E 11700 | R: 1.00 | G: 0.92
E 11800 | R: 1.00 | G: 0.90
E 11900 | R: 1.00 | G: 0.94
E 12000 | R: 1.00 | G: 0.92
E 12100 | R: 1.00 | G: 0.92
E 12200 | R: 1.00 | G: 0.92
E 12300 | R: 1.00 | G: 0.94
E 12400 | R: 1.00 | G: 0.94
Results saved to data\02e966f1\02e966f1\benchmark_order_independence_02e966f1_1.png
<<< RUN 1 COMPLETE.

>>> INDEPENDENCE RUN 2/3 Starting...
--- [ROUND vs GRU: PHASE ANGLE LOCK TEST] ---
Order: ['UNIVERSAL', 'TOPOLOGY', 'MONISM', 'COGITATING', 'RESONANCE', 'SYMMETRY']
Epochs: 12500 | ROUND Hidden: 64 | GRU Hidden: 256
E    0 | R: 0.00 | G: 0.00
E  100 | R: 0.19 | G: 0.11
E  200 | R: 0.19 | G: 0.17
E  300 | R: 0.19 | G: 0.19
E  400 | R: 0.19 | G: 0.19
