--- [ORDER INDEPENDENCE GAUNTLET v0.6.2] ---
Starting Head-to-Head Brutality Test: 3 Shuffled Batches

>>> INDEPENDENCE RUN 1/3 Starting...
--- [ROUND vs GRU: LONG-TERM COMPARISON] ---
Order: ['COGITATING', 'RESONANCE', 'UNIVERSAL', 'SYMMETRY', 'TOPOLOGY', 'MONISM']
Epochs: 10000 | ROUND Hidden: 64 | GRU Hidden: 256
E    0 | R: 0.00 | G: 0.00
E  100 | R: 0.26 | G: 0.15
E  200 | R: 0.26 | G: 0.26
E  300 | R: 0.26 | G: 0.26
E  400 | R: 0.26 | G: 0.26
E  500 | R: 0.26 | G: 0.26
E  600 | R: 0.26 | G: 0.26
E  700 | R: 0.26 | G: 0.26
E  800 | R: 0.26 | G: 0.26
E  900 | R: 0.26 | G: 0.26
E 1000 | R: 0.26 | G: 0.26
E 1100 | R: 0.26 | G: 0.26
E 1200 | R: 0.26 | G: 0.26
E 1300 | R: 0.26 | G: 0.26
E 1400 | R: 0.26 | G: 0.26
E 1500 | R: 0.26 | G: 0.26
E 1600 | R: 0.26 | G: 0.26
E 1700 | R: 0.25 | G: 0.24
E 1800 | R: 0.41 | G: 0.37
E 1900 | R: 0.41 | G: 0.39
E 2000 | R: 0.41 | G: 0.39
E 2100 | R: 0.38 | G: 0.41
E 2200 | R: 0.38 | G: 0.41
E 2300 | R: 0.41 | G: 0.41
E 2400 | R: 0.41 | G: 0.41
E 2500 | R: 0.41 | G: 0.41
E 2600 | R: 0.41 | G: 0.41
E 2700 | R: 0.41 | G: 0.41
E 2800 | R: 0.41 | G: 0.39
E 2900 | R: 0.41 | G: 0.41
E 3000 | R: 0.41 | G: 0.41
E 3100 | R: 0.41 | G: 0.41
E 3200 | R: 0.41 | G: 0.41
E 3300 | R: 0.41 | G: 0.41
E 3400 | R: 0.48 | G: 0.54
E 3500 | R: 0.39 | G: 0.58
E 3600 | R: 0.52 | G: 0.53
E 3700 | R: 0.58 | G: 0.55
E 3800 | R: 0.55 | G: 0.55
E 3900 | R: 0.52 | G: 0.55
E 4000 | R: 0.52 | G: 0.55
E 4100 | R: 0.52 | G: 0.53
E 4200 | R: 0.52 | G: 0.53
