--- [ORDER INDEPENDENCE GAUNTLET v0.6.2] ---
Starting Head-to-Head Brutality Test: 3 Shuffled Batches

>>> INDEPENDENCE RUN 1/3 Starting...
--- [ROUND vs GRU: LONG-TERM COMPARISON] ---
Order: ['TOPOLOGY', 'COGITATING', 'MONISM', 'UNIVERSAL', 'RESONANCE', 'SYMMETRY']
Epochs: 10000 | ROUND Hidden: 64 | GRU Hidden: 256
E    0 | R: 0.00 | G: 0.00
E  100 | R: 0.21 | G: 0.10
E  200 | R: 0.25 | G: 0.19
E  300 | R: 0.25 | G: 0.21
E  400 | R: 0.25 | G: 0.21
E  500 | R: 0.25 | G: 0.23
E  600 | R: 0.25 | G: 0.25
E  700 | R: 0.25 | G: 0.25
E  800 | R: 0.25 | G: 0.25
E  900 | R: 0.25 | G: 0.25
E 1000 | R: 0.25 | G: 0.25
E 1100 | R: 0.25 | G: 0.25
E 1200 | R: 0.25 | G: 0.25
E 1300 | R: 0.25 | G: 0.25
E 1400 | R: 0.25 | G: 0.25
E 1500 | R: 0.25 | G: 0.25
E 1600 | R: 0.25 | G: 0.25
E 1700 | R: 0.25 | G: 0.12
E 1800 | R: 0.41 | G: 0.41
E 1900 | R: 0.41 | G: 0.41
E 2000 | R: 0.41 | G: 0.41
E 2100 | R: 0.41 | G: 0.41
E 2200 | R: 0.41 | G: 0.41
E 2300 | R: 0.41 | G: 0.41
E 2400 | R: 0.41 | G: 0.41
E 2500 | R: 0.41 | G: 0.41
E 2600 | R: 0.41 | G: 0.41
E 2700 | R: 0.41 | G: 0.41
E 2800 | R: 0.41 | G: 0.41
E 2900 | R: 0.41 | G: 0.41
E 3000 | R: 0.41 | G: 0.41
E 3100 | R: 0.41 | G: 0.41
E 3200 | R: 0.41 | G: 0.41
E 3300 | R: 0.41 | G: 0.41
E 3400 | R: 0.50 | G: 0.50
E 3500 | R: 0.41 | G: 0.49
E 3600 | R: 0.52 | G: 0.50
E 3700 | R: 0.52 | G: 0.50
E 3800 | R: 0.52 | G: 0.50
E 3900 | R: 0.49 | G: 0.50
E 4000 | R: 0.52 | G: 0.50
E 4100 | R: 0.50 | G: 0.50
E 4200 | R: 0.52 | G: 0.50
E 4300 | R: 0.50 | G: 0.50
E 4400 | R: 0.52 | G: 0.50
E 4500 | R: 0.52 | G: 0.52
E 4600 | R: 0.52 | G: 0.50
E 4700 | R: 0.50 | G: 0.50
E 4800 | R: 0.50 | G: 0.50
E 4900 | R: 0.52 | G: 0.50
E 5000 | R: 0.52 | G: 0.50
E 5100 | R: 0.64 | G: 0.62
E 5200 | R: 0.62 | G: 0.62
E 5300 | R: 0.69 | G: 0.59
