Batch UID: 36fea372
Dev: cpu

Training ROUND
R1 E0: L=0.7255, A=0.52
R1 E100: L=0.7083, A=0.54
R1 E200: L=0.2904, A=0.93
R1 E300: L=0.2660, A=0.92
R1 E400: L=0.1100, A=0.98
R1 E500: L=0.1212, A=0.98
R1 E600: L=0.0433, A=1.00
R1 E700: L=0.1391, A=0.97
R1 E800: L=0.0431, A=1.00
R1 E900: L=0.0306, A=1.00
R2 E0: L=0.7396, A=0.49
R2 E100: L=0.7132, A=0.53
R2 E200: L=0.3489, A=0.92
R2 E300: L=0.3174, A=0.89
R2 E400: L=0.0636, A=1.00
R2 E500: L=0.0373, A=1.00
R2 E600: L=0.0299, A=1.00
R2 E700: L=0.0267, A=1.00
R2 E800: L=0.0250, A=1.00
R2 E900: L=0.0239, A=1.00
R3 E0: L=0.7327, A=0.50
R3 E100: L=0.6023, A=0.74
R3 E200: L=0.4773, A=0.78
R3 E300: L=0.0419, A=1.00
R3 E400: L=0.0286, A=1.00
R3 E500: L=0.0251, A=1.00
R3 E600: L=0.0234, A=1.00
R3 E700: L=0.0222, A=1.00
R3 E800: L=0.0213, A=1.00
R3 E900: L=0.0207, A=1.00
R4 E0: L=0.7322, A=0.52
R4 E100: L=0.5405, A=0.84
R4 E200: L=0.2334, A=0.93
R4 E300: L=0.1075, A=0.98
R4 E400: L=0.0387, A=1.00
R4 E500: L=0.0299, A=1.00
R4 E600: L=0.0266, A=1.00
R4 E700: L=0.0249, A=1.00
R4 E800: L=0.0238, A=1.00
R4 E900: L=0.0231, A=1.00
R5 E0: L=0.7339, A=0.49
R5 E100: L=0.5898, A=0.77
R5 E200: L=0.2191, A=0.95
R5 E300: L=0.1031, A=0.99
R5 E400: L=0.0421, A=1.00
R5 E500: L=0.0327, A=1.00
R5 E600: L=0.0290, A=1.00
R5 E700: L=0.0896, A=0.99
R5 E800: L=0.0453, A=1.00
R5 E900: L=0.0337, A=1.00

Training GRU
G1 E0: L=0.7001, A=0.50
G1 E100: L=0.2239, A=0.92
G1 E200: L=0.1155, A=0.96
G1 E300: L=0.0770, A=0.98
G1 E400: L=0.1063, A=0.96
G1 E500: L=0.0570, A=0.98
G1 E600: L=0.0459, A=0.99
G1 E700: L=0.0387, A=0.99
G1 E800: L=0.0325, A=0.99
G1 E900: L=0.0280, A=0.99
G2 E0: L=0.7001, A=0.50
G2 E100: L=0.2562, A=0.90
G2 E200: L=0.1348, A=0.95
G2 E300: L=0.0780, A=0.98
G2 E400: L=0.0666, A=0.98
G2 E500: L=0.0540, A=0.98
G2 E600: L=0.0458, A=0.99
G2 E700: L=0.0391, A=0.99
G2 E800: L=0.0338, A=0.99
G2 E900: L=0.0288, A=1.00
G3 E0: L=0.6987, A=0.27
G3 E100: L=0.2155, A=0.92
G3 E200: L=0.1063, A=0.97
G3 E300: L=0.0702, A=0.98
G3 E400: L=0.0512, A=0.99
G3 E500: L=0.0358, A=0.99
G3 E600: L=0.0407, A=0.99
G3 E700: L=0.0304, A=0.99
G3 E800: L=0.0261, A=1.00
G3 E900: L=0.0228, A=1.00
G4 E0: L=0.7168, A=0.50
G4 E100: L=0.2566, A=0.92
G4 E200: L=0.1091, A=0.97
G4 E300: L=0.0738, A=0.98
G4 E400: L=0.0512, A=0.99
G4 E500: L=0.0555, A=0.99
G4 E600: L=0.0391, A=0.99
G4 E700: L=0.0339, A=0.99
G4 E800: L=0.0298, A=0.99
G4 E900: L=0.0264, A=1.00
G5 E0: L=0.6902, A=0.50
G5 E100: L=0.1779, A=0.94
G5 E200: L=0.0876, A=0.97
G5 E300: L=0.0562, A=0.98
G5 E400: L=0.1374, A=0.95
G5 E500: L=0.0420, A=0.99
G5 E600: L=0.0346, A=0.99
G5 E700: L=0.0297, A=0.99
G5 E800: L=0.0259, A=0.99
G5 E900: L=0.0227, A=1.00
Done.
