Batch UID: 5f6a4728
Dev: cuda

Training ROUND
R1 E0: L=0.7337, A=0.51
R1 E100: L=0.2057, A=0.95
R1 E200: L=0.3425, A=0.90
R1 E300: L=0.0799, A=0.99
R1 E400: L=0.0417, A=1.00
R1 E500: L=0.0240, A=1.00
R1 E600: L=0.0223, A=1.00
R1 E700: L=0.0213, A=1.00
R1 E800: L=0.0205, A=1.00
R1 E900: L=0.0198, A=1.00
R2 E0: L=0.7384, A=0.50
R2 E100: L=0.3035, A=0.92
R2 E200: L=0.0323, A=1.00
R2 E300: L=0.0243, A=1.00
R2 E400: L=0.0224, A=1.00
R2 E500: L=0.0213, A=1.00
R2 E600: L=0.0205, A=1.00
R2 E700: L=0.0199, A=1.00
R2 E800: L=0.0194, A=1.00
R2 E900: L=0.0189, A=1.00
R3 E0: L=0.7406, A=0.50
R3 E100: L=0.2493, A=0.95
R3 E200: L=0.7050, A=0.63
R3 E300: L=0.0337, A=1.00
R3 E400: L=0.0259, A=1.00
R3 E500: L=0.0238, A=1.00
R3 E600: L=0.0227, A=1.00
R3 E700: L=0.0219, A=1.00
R3 E800: L=0.0212, A=1.00
R3 E900: L=0.0207, A=1.00
R4 E0: L=0.7306, A=0.50
R4 E100: L=0.3527, A=0.91
R4 E200: L=0.2226, A=0.95
R4 E300: L=0.0308, A=1.00
R4 E400: L=0.0246, A=1.00
R4 E500: L=0.0223, A=1.00
R4 E600: L=0.0209, A=1.00
R4 E700: L=0.0200, A=1.00
R4 E800: L=0.0192, A=1.00
R4 E900: L=0.0184, A=1.00
R5 E0: L=0.7380, A=0.49
R5 E100: L=0.2175, A=0.96
R5 E200: L=0.0345, A=1.00
R5 E300: L=0.0260, A=1.00
R5 E400: L=0.0236, A=1.00
R5 E500: L=0.0224, A=1.00
R5 E600: L=0.0217, A=1.00
R5 E700: L=0.0211, A=1.00
R5 E800: L=0.0207, A=1.00
R5 E900: L=0.0203, A=1.00

Training GRU
G1 E0: L=0.6954, A=0.50
G1 E100: L=0.1626, A=0.94
G1 E200: L=0.0874, A=0.97
G1 E300: L=0.1103, A=0.96
G1 E400: L=0.0585, A=0.98
G1 E500: L=0.0467, A=0.99
G1 E600: L=0.0387, A=0.99
G1 E700: L=0.0318, A=0.99
G1 E800: L=0.0256, A=0.99
G1 E900: L=0.0197, A=1.00
G2 E0: L=0.6945, A=0.50
G2 E100: L=0.2036, A=0.93
G2 E200: L=0.2071, A=0.93
G2 E300: L=0.0848, A=0.97
G2 E400: L=0.0621, A=0.98
G2 E500: L=0.0482, A=0.99
G2 E600: L=0.0384, A=0.99
G2 E700: L=0.0314, A=0.99
G2 E800: L=0.0260, A=0.99
G2 E900: L=0.0214, A=1.00
G3 E0: L=0.7023, A=0.50
G3 E100: L=0.1862, A=0.95
G3 E200: L=0.0865, A=0.97
G3 E300: L=0.2650, A=0.92
G3 E400: L=0.0606, A=0.98
G3 E500: L=0.0467, A=0.99
G3 E600: L=0.0378, A=0.99
G3 E700: L=0.0312, A=0.99
G3 E800: L=0.0258, A=1.00
G3 E900: L=0.0209, A=1.00
G4 E0: L=0.6935, A=0.50
G4 E100: L=0.1951, A=0.93
G4 E200: L=0.0918, A=0.97
G4 E300: L=0.0812, A=0.98
G4 E400: L=0.0483, A=0.99
G4 E500: L=0.2179, A=0.94
G4 E600: L=0.1842, A=0.94
G4 E700: L=0.1489, A=0.95
G4 E800: L=0.0859, A=0.97
G4 E900: L=0.0579, A=0.98
G5 E0: L=0.6954, A=0.50
G5 E100: L=0.1698, A=0.94
G5 E200: L=0.0789, A=0.98
G5 E300: L=0.0907, A=0.97
G5 E400: L=0.0607, A=0.98
G5 E500: L=0.0477, A=0.99
G5 E600: L=0.0383, A=0.99
G5 E700: L=0.0314, A=0.99
G5 E800: L=0.0262, A=1.00
G5 E900: L=0.0217, A=1.00
Done.
