Batch UID: d64b3466
Dev: cpu

Training ROUND
R1 E0: L=0.7345, A=0.50
R1 E100: L=0.2864, A=0.94
R1 E200: L=0.0395, A=1.00
R1 E300: L=0.0269, A=1.00
R1 E400: L=0.0243, A=1.00
R1 E500: L=0.0230, A=1.00
R1 E600: L=0.0221, A=1.00
R1 E700: L=0.0214, A=1.00
R1 E800: L=0.0208, A=1.00
R1 E900: L=0.0202, A=1.00
R2 E0: L=0.7363, A=0.51
R2 E100: L=0.2316, A=0.96
R2 E200: L=0.0326, A=1.00
R2 E300: L=0.0250, A=1.00
R2 E400: L=0.0228, A=1.00
R2 E500: L=0.0217, A=1.00
R2 E600: L=0.0211, A=1.00
R2 E700: L=0.0203, A=1.00
R2 E800: L=0.0198, A=1.00
R2 E900: L=0.0194, A=1.00
R3 E0: L=0.7311, A=0.51
R3 E100: L=0.2298, A=0.96
R3 E200: L=0.1411, A=0.97
R3 E300: L=0.2199, A=0.94
R3 E400: L=0.0372, A=1.00
R3 E500: L=0.0282, A=1.00
R3 E600: L=0.0254, A=1.00
R3 E700: L=0.0240, A=1.00
R3 E800: L=0.0231, A=1.00
R3 E900: L=0.0224, A=1.00
R4 E0: L=0.7332, A=0.50
R4 E100: L=0.2706, A=0.94
R4 E200: L=0.0353, A=1.00
R4 E300: L=0.0251, A=1.00
R4 E400: L=0.0228, A=1.00
R4 E500: L=0.0216, A=1.00
R4 E600: L=0.0208, A=1.00
R4 E700: L=0.0202, A=1.00
R4 E800: L=0.0197, A=1.00
R4 E900: L=0.0192, A=1.00
R5 E0: L=0.7340, A=0.51
R5 E100: L=0.2321, A=0.94
R5 E200: L=0.3649, A=0.89
R5 E300: L=0.0328, A=1.00
R5 E400: L=0.0247, A=1.00
R5 E500: L=0.0226, A=1.00
R5 E600: L=0.0214, A=1.00
R5 E700: L=0.0205, A=1.00
R5 E800: L=0.0198, A=1.00
R5 E900: L=0.0190, A=1.00

Training GRU
G1 E0: L=0.6958, A=0.42
G1 E100: L=0.2159, A=0.92
G1 E200: L=0.0929, A=0.97
G1 E300: L=0.0747, A=0.98
G1 E400: L=0.0577, A=0.99
G1 E500: L=0.0465, A=0.99
G1 E600: L=0.0380, A=0.99
G1 E700: L=0.0307, A=0.99
G1 E800: L=0.1048, A=0.97
G1 E900: L=0.0433, A=0.99
G2 E0: L=0.6948, A=0.50
G2 E100: L=0.1618, A=0.95
G2 E200: L=0.0834, A=0.98
G2 E300: L=0.0581, A=0.98
G2 E400: L=0.2393, A=0.93
G2 E500: L=0.0630, A=0.98
G2 E600: L=0.0369, A=0.99
G2 E700: L=0.0257, A=1.00
G2 E800: L=0.0202, A=1.00
G2 E900: L=0.0163, A=1.00
G3 E0: L=0.6916, A=0.50
G3 E100: L=0.1714, A=0.94
G3 E200: L=0.0944, A=0.97
G3 E300: L=0.2480, A=0.91
G3 E400: L=0.0530, A=0.99
G3 E500: L=0.0416, A=0.99
G3 E600: L=0.0342, A=0.99
G3 E700: L=0.0349, A=0.99
G3 E800: L=0.0198, A=1.00
G3 E900: L=0.0163, A=1.00
G4 E0: L=0.7041, A=0.50
G4 E100: L=0.1982, A=0.93
G4 E200: L=0.1057, A=0.97
G4 E300: L=0.0641, A=0.98
G4 E400: L=0.0487, A=0.99
G4 E500: L=0.0372, A=0.99
G4 E600: L=0.0300, A=0.99
G4 E700: L=0.0242, A=0.99
G4 E800: L=0.0193, A=1.00
G4 E900: L=0.0150, A=1.00
G5 E0: L=0.6912, A=0.71
G5 E100: L=0.1806, A=0.94
G5 E200: L=0.2642, A=0.90
G5 E300: L=0.0746, A=0.98
G5 E400: L=0.0566, A=0.98
G5 E500: L=0.0450, A=0.99
G5 E600: L=0.0347, A=0.99
G5 E700: L=0.0255, A=0.99
G5 E800: L=0.0210, A=1.00
G5 E900: L=0.0173, A=1.00
Done.
