Batch UID: e23df01d
Dev: cuda

Training ROUND
R1 E0: L=0.7331, A=0.51
R1 E100: L=0.6109, A=0.73
R1 E200: L=0.1361, A=0.98
R1 E300: L=0.0470, A=1.00
R1 E400: L=0.0289, A=1.00
R1 E500: L=0.0253, A=1.00
R1 E600: L=0.0236, A=1.00
R1 E700: L=0.0225, A=1.00
R1 E800: L=0.0218, A=1.00
R1 E900: L=0.0212, A=1.00
R2 E0: L=0.7423, A=0.49
R2 E100: L=0.6933, A=0.59
R2 E200: L=0.4635, A=0.87
R2 E300: L=0.2953, A=0.91
R2 E400: L=0.2098, A=0.94
R2 E500: L=0.3083, A=0.90
R2 E600: L=0.0591, A=1.00
R2 E700: L=0.0378, A=1.00
R2 E800: L=0.1193, A=0.97
R2 E900: L=0.0390, A=1.00
R3 E0: L=0.7410, A=0.49
R3 E100: L=0.6739, A=0.64
R3 E200: L=0.2762, A=0.91
R3 E300: L=0.0403, A=1.00
R3 E400: L=0.0277, A=1.00
R3 E500: L=0.0243, A=1.00
R3 E600: L=0.0225, A=1.00
R3 E700: L=0.0213, A=1.00
R3 E800: L=0.0203, A=1.00
R3 E900: L=0.4728, A=0.81
R4 E0: L=0.7373, A=0.50
R4 E100: L=0.6593, A=0.65
R4 E200: L=0.3246, A=0.91
R4 E300: L=0.1241, A=0.98
R4 E400: L=0.0737, A=0.99
R4 E500: L=0.0354, A=1.00
R4 E600: L=0.0291, A=1.00
R4 E700: L=0.0264, A=1.00
R4 E800: L=0.0249, A=1.00
R4 E900: L=0.0239, A=1.00
R5 E0: L=0.7385, A=0.50
R5 E100: L=0.6017, A=0.73
R5 E200: L=0.1383, A=0.97
R5 E300: L=0.0372, A=1.00
R5 E400: L=0.0293, A=1.00
R5 E500: L=0.0852, A=0.99
R5 E600: L=0.0381, A=1.00
R5 E700: L=0.0292, A=1.00
R5 E800: L=0.0261, A=1.00
R5 E900: L=0.0244, A=1.00

Training GRU
G1 E0: L=0.6971, A=0.50
G1 E100: L=0.2052, A=0.94
G1 E200: L=0.1068, A=0.97
G1 E300: L=0.0804, A=0.98
G1 E400: L=0.0709, A=0.98
G1 E500: L=0.0579, A=0.98
G1 E600: L=0.0484, A=0.98
G1 E700: L=0.0403, A=0.99
G1 E800: L=0.0333, A=0.99
G1 E900: L=0.0267, A=0.99
G2 E0: L=0.6982, A=0.50
G2 E100: L=0.2381, A=0.92
G2 E200: L=0.1244, A=0.96
G2 E300: L=0.0927, A=0.97
G2 E400: L=0.0760, A=0.98
G2 E500: L=0.0617, A=0.98
G2 E600: L=0.0661, A=0.98
G2 E700: L=0.0528, A=0.99
G2 E800: L=0.0461, A=0.99
G2 E900: L=0.0405, A=0.99
G3 E0: L=0.6995, A=0.50
G3 E100: L=0.2572, A=0.91
G3 E200: L=0.1610, A=0.95
G3 E300: L=0.0967, A=0.97
G3 E400: L=0.0766, A=0.98
G3 E500: L=0.0629, A=0.98
G3 E600: L=0.0532, A=0.98
G3 E700: L=0.1285, A=0.96
G3 E800: L=0.0650, A=0.98
G3 E900: L=0.0498, A=0.99
G4 E0: L=0.6971, A=0.50
G4 E100: L=0.2343, A=0.93
G4 E200: L=0.1115, A=0.96
G4 E300: L=0.1317, A=0.95
G4 E400: L=0.0768, A=0.98
G4 E500: L=0.0651, A=0.98
G4 E600: L=0.0565, A=0.99
G4 E700: L=0.0478, A=0.99
G4 E800: L=0.0392, A=0.99
G4 E900: L=0.0317, A=0.99
G5 E0: L=0.6949, A=0.50
G5 E100: L=0.2233, A=0.92
G5 E200: L=0.1416, A=0.95
G5 E300: L=0.0888, A=0.97
G5 E400: L=0.0701, A=0.98
G5 E500: L=0.0723, A=0.98
G5 E600: L=0.0607, A=0.98
G5 E700: L=0.0508, A=0.99
G5 E800: L=0.0430, A=0.99
G5 E900: L=0.0368, A=0.99
Done.
