Batch UID: 36fea372
Dev: cpu
Training ROUND
R1 E0: L=2.1875, A=0.12
R1 E100: L=2.0074, A=0.24
R1 E200: L=1.9167, A=0.28
R1 E300: L=1.6077, A=0.43
R1 E400: L=1.5349, A=0.45
R1 E500: L=1.3869, A=0.52
R1 E600: L=1.2885, A=0.56
R1 E700: L=1.4458, A=0.48
R1 E800: L=1.1912, A=0.58
R1 E900: L=1.1527, A=0.59
R2 E0: L=2.1972, A=0.12
R2 E100: L=1.9392, A=0.28
R2 E200: L=1.6990, A=0.39
R2 E300: L=1.5224, A=0.45
R2 E400: L=1.4892, A=0.46
R2 E500: L=1.3247, A=0.54
R2 E600: L=1.2190, A=0.58
R2 E700: L=1.2289, A=0.57
R2 E800: L=1.1253, A=0.61
R2 E900: L=1.2658, A=0.54
R3 E0: L=2.1730, A=0.13
R3 E100: L=1.9743, A=0.26
R3 E200: L=1.7632, A=0.35
R3 E300: L=1.5051, A=0.47
R3 E400: L=1.4369, A=0.49
R3 E500: L=1.3803, A=0.50
R3 E600: L=1.2566, A=0.56
R3 E700: L=1.2676, A=0.55
R3 E800: L=1.2254, A=0.57
R3 E900: L=1.1592, A=0.59
R4 E0: L=2.1719, A=0.12
R4 E100: L=1.9688, A=0.26
R4 E200: L=1.8268, A=0.32
R4 E300: L=1.5772, A=0.45
R4 E400: L=1.3889, A=0.52
R4 E500: L=1.4166, A=0.50
R4 E600: L=1.2627, A=0.55
R4 E700: L=1.1660, A=0.59
R4 E800: L=1.1685, A=0.59
R4 E900: L=1.0952, A=0.62
R5 E0: L=2.1806, A=0.13
R5 E100: L=1.9693, A=0.25
R5 E200: L=1.7051, A=0.40
R5 E300: L=1.5704, A=0.43
R5 E400: L=1.4555, A=0.49
R5 E500: L=1.3391, A=0.53
R5 E600: L=1.3628, A=0.52
R5 E700: L=1.2814, A=0.54
R5 E800: L=1.2844, A=0.54
R5 E900: L=1.1389, A=0.60
Training GRU
G1 E0: L=2.0891, A=0.13
G1 E100: L=2.0762, A=0.14
G1 E200: L=2.0596, A=0.16
G1 E300: L=2.0261, A=0.19
G1 E400: L=1.9892, A=0.21
G1 E500: L=1.9565, A=0.23
G1 E600: L=1.9290, A=0.24
G1 E700: L=1.8957, A=0.26
G1 E800: L=1.8653, A=0.28
G1 E900: L=1.8377, A=0.29
G2 E0: L=2.0927, A=0.12
G2 E100: L=2.0769, A=0.14
G2 E200: L=2.0670, A=0.16
G2 E300: L=2.0212, A=0.19
G2 E400: L=1.9771, A=0.21
G2 E500: L=1.9434, A=0.24
G2 E600: L=1.9186, A=0.25
G2 E700: L=1.8838, A=0.26
G2 E800: L=1.8655, A=0.27
G2 E900: L=1.8348, A=0.28
G3 E0: L=2.0846, A=0.13
G3 E100: L=2.0764, A=0.14
G3 E200: L=2.0522, A=0.16
G3 E300: L=1.9988, A=0.21
G3 E400: L=1.9625, A=0.22
G3 E500: L=1.9275, A=0.24
G3 E600: L=1.8934, A=0.26
G3 E700: L=1.8694, A=0.27
G3 E800: L=1.8408, A=0.29
G3 E900: L=1.8214, A=0.30
G4 E0: L=2.0939, A=0.12
G4 E100: L=2.0760, A=0.14
G4 E200: L=2.0593, A=0.17
G4 E300: L=2.0244, A=0.19
G4 E400: L=1.9899, A=0.22
G4 E500: L=1.9523, A=0.25
G4 E600: L=1.9105, A=0.26
G4 E700: L=1.8694, A=0.28
G4 E800: L=1.8345, A=0.30
G4 E900: L=1.8272, A=0.29
G5 E0: L=2.0870, A=0.12
G5 E100: L=2.0762, A=0.14
G5 E200: L=2.0573, A=0.16
G5 E300: L=1.9876, A=0.22
G5 E400: L=1.9254, A=0.25
G5 E500: L=1.8721, A=0.28
G5 E600: L=1.8195, A=0.31
G5 E700: L=1.7774, A=0.33
G5 E800: L=1.7453, A=0.35
G5 E900: L=1.7201, A=0.36
Done.
