Batch UID: 5f6a4728
Dev: cuda
Training ROUND
R1 E0: L=2.1829, A=0.12
R1 E100: L=1.9203, A=0.28
R1 E200: L=1.6310, A=0.41
R1 E300: L=1.5891, A=0.42
R1 E400: L=1.4425, A=0.48
R1 E500: L=1.2110, A=0.58
R1 E600: L=1.2080, A=0.57
R1 E700: L=1.2331, A=0.56
R1 E800: L=1.1139, A=0.61
R1 E900: L=1.2798, A=0.56
R2 E0: L=2.1847, A=0.12
R2 E100: L=1.9539, A=0.25
R2 E200: L=1.7089, A=0.37
R2 E300: L=1.5053, A=0.45
R2 E400: L=1.5485, A=0.44
R2 E500: L=1.3008, A=0.53
R2 E600: L=1.3845, A=0.51
R2 E700: L=1.2601, A=0.55
R2 E800: L=1.1160, A=0.61
R2 E900: L=1.1632, A=0.60
R3 E0: L=2.1883, A=0.12
R3 E100: L=1.9359, A=0.28
R3 E200: L=1.7000, A=0.37
R3 E300: L=1.3957, A=0.51
R3 E400: L=1.2924, A=0.54
R3 E500: L=1.2606, A=0.55
R3 E600: L=1.2206, A=0.57
R3 E700: L=1.1617, A=0.58
R3 E800: L=1.0375, A=0.63
R3 E900: L=0.9262, A=0.68
R4 E0: L=2.1734, A=0.12
R4 E100: L=1.9733, A=0.25
R4 E200: L=1.6787, A=0.40
R4 E300: L=1.5133, A=0.46
R4 E400: L=1.4150, A=0.49
R4 E500: L=1.3702, A=0.52
R4 E600: L=1.3296, A=0.52
R4 E700: L=1.3642, A=0.51
R4 E800: L=1.2469, A=0.55
R4 E900: L=1.0658, A=0.62
R5 E0: L=2.1860, A=0.13
R5 E100: L=1.8751, A=0.31
R5 E200: L=1.7539, A=0.35
R5 E300: L=1.6260, A=0.42
R5 E400: L=1.6401, A=0.41
R5 E500: L=1.2962, A=0.54
R5 E600: L=1.3176, A=0.53
R5 E700: L=1.2503, A=0.55
R5 E800: L=1.1461, A=0.60
R5 E900: L=1.1858, A=0.58
Training GRU
G1 E0: L=2.0868, A=0.12
G1 E100: L=2.0698, A=0.15
G1 E200: L=2.0019, A=0.20
G1 E300: L=1.9183, A=0.26
G1 E400: L=1.8379, A=0.29
G1 E500: L=1.7496, A=0.35
G1 E600: L=1.6846, A=0.38
G1 E700: L=1.6496, A=0.40
G1 E800: L=1.6068, A=0.41
G1 E900: L=1.5588, A=0.43
G2 E0: L=2.0909, A=0.12
G2 E100: L=2.0670, A=0.16
G2 E200: L=2.0000, A=0.21
G2 E300: L=1.9164, A=0.27
G2 E400: L=1.8389, A=0.30
G2 E500: L=1.7743, A=0.33
G2 E600: L=1.7401, A=0.35
G2 E700: L=1.7003, A=0.37
G2 E800: L=1.6166, A=0.40
G2 E900: L=1.5872, A=0.41
G3 E0: L=2.0903, A=0.12
G3 E100: L=2.0701, A=0.16
G3 E200: L=1.9710, A=0.23
G3 E300: L=1.8427, A=0.30
G3 E400: L=1.7414, A=0.35
G3 E500: L=1.7075, A=0.36
G3 E600: L=1.5966, A=0.40
G3 E700: L=1.5473, A=0.42
G3 E800: L=1.5061, A=0.45
G3 E900: L=1.4767, A=0.46
G4 E0: L=2.0834, A=0.13
G4 E100: L=2.0609, A=0.16
G4 E200: L=1.9875, A=0.22
G4 E300: L=1.9150, A=0.26
G4 E400: L=1.8139, A=0.31
G4 E500: L=1.7565, A=0.34
G4 E600: L=1.6937, A=0.37
G4 E700: L=1.6810, A=0.37
G4 E800: L=1.6241, A=0.40
G4 E900: L=1.5521, A=0.43
G5 E0: L=2.0839, A=0.12
G5 E100: L=2.0625, A=0.17
G5 E200: L=1.9973, A=0.22
G5 E300: L=1.9213, A=0.26
G5 E400: L=1.8376, A=0.30
G5 E500: L=1.7717, A=0.33
G5 E600: L=1.7056, A=0.36
G5 E700: L=1.6627, A=0.38
G5 E800: L=1.6378, A=0.39
G5 E900: L=1.5884, A=0.41
Done.
