Batch UID: d64b3466
Dev: cpu
Training ROUND
R1 E0: L=2.1864, A=0.12
R1 E100: L=1.9250, A=0.28
R1 E200: L=1.6841, A=0.39
R1 E300: L=1.4520, A=0.48
R1 E400: L=1.2736, A=0.57
R1 E500: L=1.3990, A=0.51
R1 E600: L=1.1328, A=0.60
R1 E700: L=1.1945, A=0.58
R1 E800: L=1.0783, A=0.62
R1 E900: L=1.0907, A=0.61
R2 E0: L=2.1744, A=0.12
R2 E100: L=1.9463, A=0.26
R2 E200: L=1.6844, A=0.38
R2 E300: L=1.4840, A=0.47
R2 E400: L=1.3873, A=0.50
R2 E500: L=1.4345, A=0.50
R2 E600: L=1.1925, A=0.58
R2 E700: L=1.2381, A=0.55
R2 E800: L=1.2064, A=0.57
R2 E900: L=1.1131, A=0.60
R3 E0: L=2.1740, A=0.13
R3 E100: L=1.9639, A=0.26
R3 E200: L=1.6740, A=0.39
R3 E300: L=1.6143, A=0.41
R3 E400: L=1.3381, A=0.52
R3 E500: L=1.4320, A=0.48
R3 E600: L=1.2900, A=0.54
R3 E700: L=1.1172, A=0.60
R3 E800: L=1.1078, A=0.61
R3 E900: L=1.1986, A=0.57
R4 E0: L=2.1680, A=0.13
R4 E100: L=1.9590, A=0.26
R4 E200: L=1.6925, A=0.39
R4 E300: L=1.5553, A=0.44
R4 E400: L=1.3225, A=0.53
R4 E500: L=1.4024, A=0.49
R4 E600: L=1.3329, A=0.53
R4 E700: L=1.1525, A=0.60
R4 E800: L=1.0905, A=0.62
R4 E900: L=1.0785, A=0.61
R5 E0: L=2.1803, A=0.13
R5 E100: L=1.9217, A=0.28
R5 E200: L=1.7250, A=0.37
R5 E300: L=1.4802, A=0.47
R5 E400: L=1.4843, A=0.47
R5 E500: L=1.4509, A=0.48
R5 E600: L=1.2237, A=0.56
R5 E700: L=1.2325, A=0.56
R5 E800: L=1.0526, A=0.63
R5 E900: L=1.1045, A=0.61
Training GRU
G1 E0: L=2.0855, A=0.12
G1 E100: L=2.0757, A=0.14
G1 E200: L=2.0223, A=0.20
G1 E300: L=1.9038, A=0.26
G1 E400: L=1.7827, A=0.32
G1 E500: L=1.6974, A=0.36
G1 E600: L=1.6002, A=0.40
G1 E700: L=1.5277, A=0.44
G1 E800: L=1.5248, A=0.44
G1 E900: L=1.4412, A=0.48
G2 E0: L=2.0922, A=0.12
G2 E100: L=2.0748, A=0.14
G2 E200: L=1.9749, A=0.23
G2 E300: L=1.8090, A=0.31
G2 E400: L=1.6816, A=0.37
G2 E500: L=1.5787, A=0.42
G2 E600: L=1.5307, A=0.44
G2 E700: L=1.4964, A=0.45
G2 E800: L=1.4241, A=0.48
G2 E900: L=1.4104, A=0.48
G3 E0: L=2.0831, A=0.14
G3 E100: L=2.0733, A=0.15
G3 E200: L=1.9477, A=0.24
G3 E300: L=1.7560, A=0.33
G3 E400: L=1.6314, A=0.38
G3 E500: L=1.5859, A=0.40
G3 E600: L=1.4635, A=0.46
G3 E700: L=1.4334, A=0.48
G3 E800: L=1.3530, A=0.51
G3 E900: L=1.3493, A=0.51
G4 E0: L=2.0933, A=0.13
G4 E100: L=2.0743, A=0.15
G4 E200: L=2.0066, A=0.21
G4 E300: L=1.8529, A=0.29
G4 E400: L=1.7573, A=0.33
G4 E500: L=1.6334, A=0.38
G4 E600: L=1.5455, A=0.42
G4 E700: L=1.4857, A=0.45
G4 E800: L=1.4695, A=0.45
G4 E900: L=1.3834, A=0.49
G5 E0: L=2.0874, A=0.13
G5 E100: L=2.0751, A=0.15
G5 E200: L=1.9865, A=0.22
G5 E300: L=1.7888, A=0.32
G5 E400: L=1.6576, A=0.38
G5 E500: L=1.5221, A=0.44
G5 E600: L=1.4567, A=0.46
G5 E700: L=1.3836, A=0.50
G5 E800: L=1.3626, A=0.50
G5 E900: L=1.2654, A=0.56
Done.
