Batch UID: e23df01d
Dev: cuda
Training ROUND
R1 E0: L=2.1687, A=0.13
R1 E100: L=1.9755, A=0.25
R1 E200: L=1.7699, A=0.35
R1 E300: L=1.5560, A=0.45
R1 E400: L=1.4531, A=0.48
R1 E500: L=1.4367, A=0.48
R1 E600: L=1.2620, A=0.56
R1 E700: L=1.3666, A=0.50
R1 E800: L=1.5333, A=0.45
R1 E900: L=1.1361, A=0.60
R2 E0: L=2.1776, A=0.12
R2 E100: L=1.9280, A=0.28
R2 E200: L=1.7023, A=0.38
R2 E300: L=1.6049, A=0.43
R2 E400: L=1.3926, A=0.51
R2 E500: L=1.3659, A=0.51
R2 E600: L=1.2653, A=0.55
R2 E700: L=1.2926, A=0.54
R2 E800: L=1.1558, A=0.59
R2 E900: L=1.1500, A=0.60
R3 E0: L=2.1813, A=0.13
R3 E100: L=1.9547, A=0.26
R3 E200: L=1.7180, A=0.37
R3 E300: L=1.5714, A=0.43
R3 E400: L=1.4288, A=0.49
R3 E500: L=1.2389, A=0.56
R3 E600: L=1.3582, A=0.51
R3 E700: L=1.1552, A=0.59
R3 E800: L=1.3669, A=0.51
R3 E900: L=1.1135, A=0.60
R4 E0: L=2.1736, A=0.12
R4 E100: L=1.9759, A=0.27
R4 E200: L=1.7523, A=0.36
R4 E300: L=1.5518, A=0.45
R4 E400: L=1.4326, A=0.49
R4 E500: L=1.3556, A=0.52
R4 E600: L=1.2959, A=0.55
R4 E700: L=1.2545, A=0.55
R4 E800: L=1.0691, A=0.64
R4 E900: L=1.1357, A=0.61
R5 E0: L=2.1741, A=0.12
R5 E100: L=1.9387, A=0.26
R5 E200: L=1.7107, A=0.37
R5 E300: L=1.4761, A=0.48
R5 E400: L=1.3992, A=0.50
R5 E500: L=1.3386, A=0.52
R5 E600: L=1.3546, A=0.51
R5 E700: L=1.1572, A=0.60
R5 E800: L=1.1763, A=0.58
R5 E900: L=1.1519, A=0.59
Training GRU
G1 E0: L=2.0838, A=0.12
G1 E100: L=2.0764, A=0.14
G1 E200: L=2.0558, A=0.17
G1 E300: L=1.9913, A=0.22
G1 E400: L=1.9321, A=0.26
G1 E500: L=1.8872, A=0.28
G1 E600: L=1.8545, A=0.29
G1 E700: L=1.8167, A=0.31
G1 E800: L=1.7924, A=0.32
G1 E900: L=1.7772, A=0.32
G2 E0: L=2.0904, A=0.13
G2 E100: L=2.0776, A=0.13
G2 E200: L=2.0692, A=0.16
G2 E300: L=2.0332, A=0.19
G2 E400: L=1.9952, A=0.22
G2 E500: L=1.9665, A=0.23
G2 E600: L=1.9400, A=0.26
G2 E700: L=1.9265, A=0.26
G2 E800: L=1.9132, A=0.26
G2 E900: L=1.8772, A=0.28
G3 E0: L=2.0848, A=0.13
G3 E100: L=2.0768, A=0.14
G3 E200: L=2.0526, A=0.17
G3 E300: L=1.9809, A=0.23
G3 E400: L=1.9224, A=0.26
G3 E500: L=1.8740, A=0.28
G3 E600: L=1.8355, A=0.29
G3 E700: L=1.8006, A=0.31
G3 E800: L=1.7699, A=0.33
G3 E900: L=1.7332, A=0.34
G4 E0: L=2.0828, A=0.12
G4 E100: L=2.0760, A=0.14
G4 E200: L=2.0509, A=0.17
G4 E300: L=1.9892, A=0.22
G4 E400: L=1.9377, A=0.26
G4 E500: L=1.8980, A=0.28
G4 E600: L=1.8692, A=0.29
G4 E700: L=1.8362, A=0.30
G4 E800: L=1.8105, A=0.32
G4 E900: L=1.7888, A=0.32
G5 E0: L=2.0823, A=0.13
G5 E100: L=2.0763, A=0.14
G5 E200: L=2.0504, A=0.17
G5 E300: L=1.9691, A=0.23
G5 E400: L=1.9029, A=0.26
G5 E500: L=1.8484, A=0.30
G5 E600: L=1.8043, A=0.32
G5 E700: L=1.7694, A=0.33
G5 E800: L=1.7447, A=0.35
G5 E900: L=1.7192, A=0.36
Done.
