--- [ORDER INDEPENDENCE GAUNTLET v0.6.2] ---
Starting Head-to-Head Brutality Test: 3 Shuffled Batches

>>> INDEPENDENCE RUN 1/3 Starting...
--- [ROUND vs GRU: LONG-TERM COMPARISON] ---
Order: ['RESONANCE', 'TOPOLOGY', 'UNIVERSAL', 'COGITATING', 'SYMMETRY', 'MONISM']
Epochs: 10000 | ROUND Hidden: 64 | GRU Hidden: 256
E    0 | R: 0.00 | G: 0.00
E  100 | R: 0.20 | G: 0.08
E  200 | R: 0.20 | G: 0.15
E  300 | R: 0.20 | G: 0.19
E  400 | R: 0.20 | G: 0.20
E  500 | R: 0.20 | G: 0.20
E  600 | R: 0.20 | G: 0.20
E  700 | R: 0.20 | G: 0.20
E  800 | R: 0.20 | G: 0.20
E  900 | R: 0.20 | G: 0.20
E 1000 | R: 0.20 | G: 0.20
E 1100 | R: 0.20 | G: 0.20
E 1200 | R: 0.20 | G: 0.20
E 1300 | R: 0.20 | G: 0.20
E 1400 | R: 0.20 | G: 0.20
E 1500 | R: 0.20 | G: 0.20
E 1600 | R: 0.20 | G: 0.20
E 1700 | R: 0.23 | G: 0.20
E 1800 | R: 0.38 | G: 0.24
E 1900 | R: 0.38 | G: 0.33
E 2000 | R: 0.38 | G: 0.38
E 2100 | R: 0.36 | G: 0.38
E 2200 | R: 0.38 | G: 0.38
E 2300 | R: 0.38 | G: 0.38
E 2400 | R: 0.36 | G: 0.36
E 2500 | R: 0.38 | G: 0.38
E 2600 | R: 0.38 | G: 0.38
E 2700 | R: 0.38 | G: 0.36
E 2800 | R: 0.38 | G: 0.38
E 2900 | R: 0.25 | G: 0.36
E 3000 | R: 0.38 | G: 0.36
E 3100 | R: 0.38 | G: 0.38
E 3200 | R: 0.38 | G: 0.38
E 3300 | R: 0.36 | G: 0.38
E 3400 | R: 0.36 | G: 0.51
E 3500 | R: 0.43 | G: 0.48
E 3600 | R: 0.50 | G: 0.50
E 3700 | R: 0.48 | G: 0.52
E 3800 | R: 0.46 | G: 0.48
E 3900 | R: 0.52 | G: 0.50
E 4000 | R: 0.50 | G: 0.50
E 4100 | R: 0.50 | G: 0.50
E 4200 | R: 0.50 | G: 0.52
E 4300 | R: 0.50 | G: 0.52
E 4400 | R: 0.50 | G: 0.52
E 4500 | R: 0.50 | G: 0.52
E 4600 | R: 0.50 | G: 0.52
E 4700 | R: 0.50 | G: 0.52
E 4800 | R: 0.50 | G: 0.52
E 4900 | R: 0.50 | G: 0.52
E 5000 | R: 0.50 | G: 0.52
E 5100 | R: 0.71 | G: 0.66
E 5200 | R: 0.61 | G: 0.63
E 5300 | R: 0.69 | G: 0.66
E 5400 | R: 0.69 | G: 0.66
E 5500 | R: 0.67 | G: 0.66
E 5600 | R: 0.67 | G: 0.66
E 5700 | R: 0.67 | G: 0.65
E 5800 | R: 0.67 | G: 0.65
E 5900 | R: 0.69 | G: 0.69
E 6000 | R: 0.67 | G: 0.68
E 6100 | R: 0.69 | G: 0.67
E 6200 | R: 0.67 | G: 0.69
E 6300 | R: 0.69 | G: 0.68
E 6400 | R: 0.72 | G: 0.69
E 6500 | R: 0.69 | G: 0.72
E 6600 | R: 0.69 | G: 0.72
E 6700 | R: 0.49 | G: 0.69
E 6800 | R: 0.72 | G: 0.81
E 6900 | R: 0.82 | G: 0.82
E 7000 | R: 0.84 | G: 0.84
E 7100 | R: 0.84 | G: 0.84
E 7200 | R: 0.84 | G: 0.87
E 7300 | R: 0.84 | G: 0.87
E 7400 | R: 0.86 | G: 0.87
E 7500 | R: 0.80 | G: 0.87
E 7600 | R: 0.86 | G: 0.87
E 7700 | R: 0.83 | G: 0.87
E 7800 | R: 0.83 | G: 0.87
E 7900 | R: 0.83 | G: 0.87
E 8000 | R: 0.83 | G: 0.87
E 8100 | R: 0.84 | G: 0.87
E 8200 | R: 0.86 | G: 0.87
E 8300 | R: 0.83 | G: 0.87
E 8400 | R: 0.98 | G: 1.00
E 8500 | R: 1.00 | G: 0.98
E 8600 | R: 0.98 | G: 0.98
E 8700 | R: 1.00 | G: 1.00
E 8800 | R: 1.00 | G: 0.98
E 8900 | R: 1.00 | G: 0.98
E 9000 | R: 1.00 | G: 1.00
E 9100 | R: 1.00 | G: 1.00
E 9200 | R: 1.00 | G: 1.00
E 9300 | R: 1.00 | G: 1.00
E 9400 | R: 1.00 | G: 1.00
E 9500 | R: 1.00 | G: 1.00
