Batch UID: 36fea372
Dev: cpu
Training ROUND
R1 E0: L=0.7363, A=0.49
R1 E100: L=0.4128, A=0.89
R1 E200: L=0.1262, A=1.00
R1 E300: L=0.0714, A=1.00
R1 E400: L=0.0456, A=1.00
R1 E500: L=0.0360, A=1.00
R1 E600: L=0.0313, A=1.00
R1 E700: L=0.0286, A=1.00
R1 E800: L=0.0268, A=1.00
R1 E900: L=0.0256, A=1.00
R2 E0: L=0.7362, A=0.50
R2 E100: L=0.4316, A=0.87
R2 E200: L=0.1551, A=0.99
R2 E300: L=0.0611, A=1.00
R2 E400: L=0.0421, A=1.00
R2 E500: L=0.0344, A=1.00
R2 E600: L=0.0304, A=1.00
R2 E700: L=0.0281, A=1.00
R2 E800: L=0.0265, A=1.00
R2 E900: L=0.0255, A=1.00
R3 E0: L=0.7459, A=0.49
R3 E100: L=0.4514, A=0.84
R3 E200: L=0.3060, A=0.90
R3 E300: L=0.0708, A=1.00
R3 E400: L=0.0463, A=1.00
R3 E500: L=0.0367, A=1.00
R3 E600: L=0.0319, A=1.00
R3 E700: L=0.0291, A=1.00
R3 E800: L=0.0273, A=1.00
R3 E900: L=0.0261, A=1.00
R4 E0: L=0.7299, A=0.52
R4 E100: L=0.5388, A=0.79
R4 E200: L=0.2341, A=0.96
R4 E300: L=0.1204, A=0.99
R4 E400: L=0.0501, A=1.00
R4 E500: L=0.0387, A=1.00
R4 E600: L=0.0332, A=1.00
R4 E700: L=0.0301, A=1.00
R4 E800: L=0.0281, A=1.00
R4 E900: L=0.0267, A=1.00
R5 E0: L=0.7450, A=0.47
R5 E100: L=0.4709, A=0.83
R5 E200: L=0.1490, A=1.00
R5 E300: L=0.0689, A=1.00
R5 E400: L=0.0455, A=1.00
R5 E500: L=0.0363, A=1.00
R5 E600: L=0.0317, A=1.00
R5 E700: L=0.0290, A=1.00
R5 E800: L=0.0272, A=1.00
R5 E900: L=0.0260, A=1.00
Training GRU
G1 E0: L=0.6973, A=0.51
G1 E100: L=0.6926, A=0.52
G1 E200: L=0.6718, A=0.58
G1 E300: L=0.5759, A=0.69
G1 E400: L=0.5064, A=0.75
G1 E500: L=0.4484, A=0.78
G1 E600: L=0.3973, A=0.82
G1 E700: L=0.3897, A=0.83
G1 E800: L=0.3343, A=0.86
G1 E900: L=0.2926, A=0.88
G2 E0: L=0.6948, A=0.49
G2 E100: L=0.6926, A=0.52
G2 E200: L=0.6695, A=0.58
G2 E300: L=0.6383, A=0.63
G2 E400: L=0.6133, A=0.66
G2 E500: L=0.5768, A=0.68
G2 E600: L=0.5396, A=0.71
G2 E700: L=0.5113, A=0.74
G2 E800: L=0.4820, A=0.75
G2 E900: L=0.4562, A=0.77
G3 E0: L=0.6939, A=0.49
G3 E100: L=0.6923, A=0.52
G3 E200: L=0.6584, A=0.60
G3 E300: L=0.5894, A=0.68
G3 E400: L=0.5225, A=0.74
G3 E500: L=0.4691, A=0.77
G3 E600: L=0.4122, A=0.80
G3 E700: L=0.3687, A=0.83
G3 E800: L=0.3270, A=0.87
G3 E900: L=0.2919, A=0.88
G4 E0: L=0.6931, A=0.51
G4 E100: L=0.6861, A=0.54
G4 E200: L=0.6498, A=0.62
G4 E300: L=0.5906, A=0.70
G4 E400: L=0.5327, A=0.73
G4 E500: L=0.4820, A=0.76
G4 E600: L=0.4415, A=0.80
G4 E700: L=0.3995, A=0.82
G4 E800: L=0.3549, A=0.85
G4 E900: L=0.3246, A=0.86
G5 E0: L=0.6960, A=0.49
G5 E100: L=0.6926, A=0.51
G5 E200: L=0.6641, A=0.58
G5 E300: L=0.6141, A=0.66
G5 E400: L=0.5543, A=0.71
G5 E500: L=0.4995, A=0.74
G5 E600: L=0.4363, A=0.79
G5 E700: L=0.4077, A=0.81
G5 E800: L=0.3410, A=0.84
G5 E900: L=0.3002, A=0.87
Done.
