Batch UID: 5f6a4728
Dev: cuda
Training ROUND
R1 E0: L=0.7321, A=0.51
R1 E100: L=0.3632, A=0.88
R1 E200: L=0.0481, A=1.00
R1 E300: L=0.0297, A=1.00
R1 E400: L=0.0258, A=1.00
R1 E500: L=0.0240, A=1.00
R1 E600: L=0.0230, A=1.00
R1 E700: L=0.0224, A=1.00
R1 E800: L=0.0219, A=1.00
R1 E900: L=0.0215, A=1.00
R2 E0: L=0.7394, A=0.48
R2 E100: L=0.5418, A=0.76
R2 E200: L=0.1381, A=0.98
R2 E300: L=0.0332, A=1.00
R2 E400: L=0.0266, A=1.00
R2 E500: L=0.0244, A=1.00
R2 E600: L=0.0232, A=1.00
R2 E700: L=0.0225, A=1.00
R2 E800: L=0.0220, A=1.00
R2 E900: L=0.0216, A=1.00
R3 E0: L=0.7323, A=0.51
R3 E100: L=0.4859, A=0.80
R3 E200: L=0.0601, A=1.00
R3 E300: L=0.0313, A=1.00
R3 E400: L=0.0264, A=1.00
R3 E500: L=0.0244, A=1.00
R3 E600: L=0.0233, A=1.00
R3 E700: L=0.0225, A=1.00
R3 E800: L=0.0220, A=1.00
R3 E900: L=0.0216, A=1.00
R4 E0: L=0.7270, A=0.52
R4 E100: L=0.4273, A=0.84
R4 E200: L=0.0608, A=1.00
R4 E300: L=0.0303, A=1.00
R4 E400: L=0.0260, A=1.00
R4 E500: L=0.0243, A=1.00
R4 E600: L=0.0233, A=1.00
R4 E700: L=0.0226, A=1.00
R4 E800: L=0.0222, A=1.00
R4 E900: L=0.0218, A=1.00
R5 E0: L=0.7413, A=0.49
R5 E100: L=0.3974, A=0.85
R5 E200: L=0.0441, A=1.00
R5 E300: L=0.0295, A=1.00
R5 E400: L=0.0256, A=1.00
R5 E500: L=0.0239, A=1.00
R5 E600: L=0.0230, A=1.00
R5 E700: L=0.0223, A=1.00
R5 E800: L=0.0219, A=1.00
R5 E900: L=0.0215, A=1.00
Training GRU
G1 E0: L=0.6920, A=0.52
G1 E100: L=0.6797, A=0.54
G1 E200: L=0.6600, A=0.57
G1 E300: L=0.6239, A=0.61
G1 E400: L=0.5717, A=0.66
G1 E500: L=0.5217, A=0.70
G1 E600: L=0.4750, A=0.73
G1 E700: L=0.4360, A=0.77
G1 E800: L=0.3826, A=0.81
G1 E900: L=0.3449, A=0.84
G2 E0: L=0.6927, A=0.51
G2 E100: L=0.6851, A=0.53
G2 E200: L=0.6524, A=0.58
G2 E300: L=0.6007, A=0.65
G2 E400: L=0.5325, A=0.70
G2 E500: L=0.4740, A=0.75
G2 E600: L=0.4291, A=0.78
G2 E700: L=0.3887, A=0.81
G2 E800: L=0.4181, A=0.80
G2 E900: L=0.3238, A=0.85
G3 E0: L=0.6936, A=0.48
G3 E100: L=0.6797, A=0.54
G3 E200: L=0.6414, A=0.59
G3 E300: L=0.5789, A=0.65
G3 E400: L=0.5535, A=0.67
G3 E500: L=0.4924, A=0.72
G3 E600: L=0.5349, A=0.70
G3 E700: L=0.4374, A=0.75
G3 E800: L=0.5944, A=0.67
G3 E900: L=0.3943, A=0.78
G4 E0: L=0.6924, A=0.52
G4 E100: L=0.6808, A=0.54
G4 E200: L=0.6500, A=0.59
G4 E300: L=0.5725, A=0.67
G4 E400: L=0.4994, A=0.72
G4 E500: L=0.4272, A=0.78
G4 E600: L=0.3816, A=0.81
G4 E700: L=0.3374, A=0.84
G4 E800: L=0.3194, A=0.85
G4 E900: L=0.2660, A=0.87
G5 E0: L=0.6938, A=0.48
G5 E100: L=0.6815, A=0.53
G5 E200: L=0.6522, A=0.59
G5 E300: L=0.6061, A=0.65
G5 E400: L=0.5204, A=0.71
G5 E500: L=0.4565, A=0.76
G5 E600: L=0.3942, A=0.81
G5 E700: L=0.3353, A=0.84
G5 E800: L=0.2886, A=0.87
G5 E900: L=0.2539, A=0.88
Done.
