Batch UID: d64b3466
Dev: cpu
Training ROUND
R1 E0: L=0.7320, A=0.51
R1 E100: L=0.4527, A=0.82
R1 E200: L=0.0568, A=1.00
R1 E300: L=0.0307, A=1.00
R1 E400: L=0.0262, A=1.00
R1 E500: L=0.0243, A=1.00
R1 E600: L=0.0232, A=1.00
R1 E700: L=0.0225, A=1.00
R1 E800: L=0.0220, A=1.00
R1 E900: L=0.0216, A=1.00
R2 E0: L=0.7336, A=0.50
R2 E100: L=0.4587, A=0.81
R2 E200: L=0.0589, A=1.00
R2 E300: L=0.0310, A=1.00
R2 E400: L=0.0263, A=1.00
R2 E500: L=0.0244, A=1.00
R2 E600: L=0.0233, A=1.00
R2 E700: L=0.0226, A=1.00
R2 E800: L=0.0221, A=1.00
R2 E900: L=0.0216, A=1.00
R3 E0: L=0.7407, A=0.50
R3 E100: L=0.4817, A=0.79
R3 E200: L=0.1581, A=0.97
R3 E300: L=0.0329, A=1.00
R3 E400: L=0.0273, A=1.00
R3 E500: L=0.0251, A=1.00
R3 E600: L=0.0239, A=1.00
R3 E700: L=0.0231, A=1.00
R3 E800: L=0.0225, A=1.00
R3 E900: L=0.0221, A=1.00
R4 E0: L=0.7362, A=0.51
R4 E100: L=0.4120, A=0.84
R4 E200: L=0.0490, A=1.00
R4 E300: L=0.0303, A=1.00
R4 E400: L=0.0261, A=1.00
R4 E500: L=0.0242, A=1.00
R4 E600: L=0.0232, A=1.00
R4 E700: L=0.0225, A=1.00
R4 E800: L=0.0220, A=1.00
R4 E900: L=0.0215, A=1.00
R5 E0: L=0.7348, A=0.49
R5 E100: L=0.4210, A=0.84
R5 E200: L=0.0808, A=1.00
R5 E300: L=0.0309, A=1.00
R5 E400: L=0.0262, A=1.00
R5 E500: L=0.0243, A=1.00
R5 E600: L=0.0232, A=1.00
R5 E700: L=0.0226, A=1.00
R5 E800: L=0.0221, A=1.00
R5 E900: L=0.0217, A=1.00
Training GRU
G1 E0: L=0.6971, A=0.49
G1 E100: L=0.6827, A=0.56
G1 E200: L=0.6414, A=0.63
G1 E300: L=0.5772, A=0.69
G1 E400: L=0.5243, A=0.73
G1 E500: L=0.4894, A=0.75
G1 E600: L=0.4272, A=0.80
G1 E700: L=0.4115, A=0.81
G1 E800: L=0.3763, A=0.83
G1 E900: L=0.3303, A=0.86
G2 E0: L=0.6980, A=0.49
G2 E100: L=0.6877, A=0.55
G2 E200: L=0.6546, A=0.61
G2 E300: L=0.6113, A=0.67
G2 E400: L=0.5607, A=0.71
G2 E500: L=0.5166, A=0.75
G2 E600: L=0.4728, A=0.78
G2 E700: L=0.4135, A=0.82
G2 E800: L=0.4160, A=0.81
G2 E900: L=0.3196, A=0.86
G3 E0: L=0.6969, A=0.51
G3 E100: L=0.6851, A=0.54
G3 E200: L=0.6476, A=0.62
G3 E300: L=0.6149, A=0.66
G3 E400: L=0.5594, A=0.71
G3 E500: L=0.5099, A=0.74
G3 E600: L=0.4618, A=0.78
G3 E700: L=0.3980, A=0.83
G3 E800: L=0.3657, A=0.84
G3 E900: L=0.3078, A=0.87
G4 E0: L=0.6954, A=0.49
G4 E100: L=0.6825, A=0.56
G4 E200: L=0.6430, A=0.62
G4 E300: L=0.5858, A=0.68
G4 E400: L=0.5225, A=0.73
G4 E500: L=0.4520, A=0.80
G4 E600: L=0.3913, A=0.82
G4 E700: L=0.3581, A=0.84
G4 E800: L=0.3402, A=0.85
G4 E900: L=0.2251, A=0.92
G5 E0: L=0.6943, A=0.49
G5 E100: L=0.6790, A=0.57
G5 E200: L=0.6413, A=0.63
G5 E300: L=0.5997, A=0.68
G5 E400: L=0.5657, A=0.70
G5 E500: L=0.5248, A=0.74
G5 E600: L=0.5260, A=0.74
G5 E700: L=0.4545, A=0.78
G5 E800: L=0.4308, A=0.81
G5 E900: L=0.4129, A=0.81
Done.
