Batch UID: e23df01d
Dev: cuda
Training ROUND
R1 E0: L=0.7392, A=0.49
R1 E100: L=0.4756, A=0.83
R1 E200: L=0.1916, A=0.98
R1 E300: L=0.1033, A=1.00
R1 E400: L=0.0504, A=1.00
R1 E500: L=0.0386, A=1.00
R1 E600: L=0.0330, A=1.00
R1 E700: L=0.0298, A=1.00
R1 E800: L=0.0277, A=1.00
R1 E900: L=0.0263, A=1.00
R2 E0: L=0.7359, A=0.51
R2 E100: L=0.4436, A=0.85
R2 E200: L=0.1359, A=1.00
R2 E300: L=0.0723, A=1.00
R2 E400: L=0.0459, A=1.00
R2 E500: L=0.0363, A=1.00
R2 E600: L=0.0316, A=1.00
R2 E700: L=0.0289, A=1.00
R2 E800: L=0.0271, A=1.00
R2 E900: L=0.0259, A=1.00
R3 E0: L=0.7416, A=0.50
R3 E100: L=0.4258, A=0.87
R3 E200: L=0.2321, A=0.95
R3 E300: L=0.0667, A=1.00
R3 E400: L=0.0441, A=1.00
R3 E500: L=0.0354, A=1.00
R3 E600: L=0.0311, A=1.00
R3 E700: L=0.0285, A=1.00
R3 E800: L=0.0269, A=1.00
R3 E900: L=0.0257, A=1.00
R4 E0: L=0.7360, A=0.49
R4 E100: L=0.3706, A=0.92
R4 E200: L=0.1892, A=0.98
R4 E300: L=0.0645, A=1.00
R4 E400: L=0.0439, A=1.00
R4 E500: L=0.0354, A=1.00
R4 E600: L=0.0310, A=1.00
R4 E700: L=0.0284, A=1.00
R4 E800: L=0.0267, A=1.00
R4 E900: L=0.0256, A=1.00
R5 E0: L=0.7467, A=0.48
R5 E100: L=0.5557, A=0.76
R5 E200: L=0.2283, A=0.96
R5 E300: L=0.0832, A=1.00
R5 E400: L=0.0482, A=1.00
R5 E500: L=0.0373, A=1.00
R5 E600: L=0.0321, A=1.00
R5 E700: L=0.0292, A=1.00
R5 E800: L=0.0273, A=1.00
R5 E900: L=0.0261, A=1.00
Training GRU
G1 E0: L=0.6974, A=0.49
G1 E100: L=0.6925, A=0.53
G1 E200: L=0.6884, A=0.53
G1 E300: L=0.6062, A=0.67
G1 E400: L=0.5371, A=0.72
G1 E500: L=0.4706, A=0.77
G1 E600: L=0.4127, A=0.81
G1 E700: L=0.3632, A=0.84
G1 E800: L=0.3275, A=0.86
G1 E900: L=0.2983, A=0.89
G2 E0: L=0.6935, A=0.50
G2 E100: L=0.6910, A=0.53
G2 E200: L=0.6552, A=0.61
G2 E300: L=0.5917, A=0.69
G2 E400: L=0.5317, A=0.73
G2 E500: L=0.4804, A=0.77
G2 E600: L=0.4403, A=0.79
G2 E700: L=0.4079, A=0.81
G2 E800: L=0.3642, A=0.84
G2 E900: L=0.3345, A=0.85
G3 E0: L=0.6946, A=0.51
G3 E100: L=0.6925, A=0.51
G3 E200: L=0.6822, A=0.57
G3 E300: L=0.6106, A=0.66
G3 E400: L=0.5390, A=0.72
G3 E500: L=0.4758, A=0.76
G3 E600: L=0.4351, A=0.79
G3 E700: L=0.4010, A=0.80
G3 E800: L=0.3826, A=0.82
G3 E900: L=0.3461, A=0.84
G4 E0: L=0.6932, A=0.49
G4 E100: L=0.6912, A=0.53
G4 E200: L=0.6642, A=0.57
G4 E300: L=0.6250, A=0.63
G4 E400: L=0.5850, A=0.67
G4 E500: L=0.5484, A=0.70
G4 E600: L=0.5131, A=0.73
G4 E700: L=0.4871, A=0.76
G4 E800: L=0.4652, A=0.78
G4 E900: L=0.4351, A=0.79
G5 E0: L=0.6938, A=0.51
G5 E100: L=0.6921, A=0.52
G5 E200: L=0.6722, A=0.58
G5 E300: L=0.6479, A=0.63
G5 E400: L=0.6144, A=0.66
G5 E500: L=0.5843, A=0.69
G5 E600: L=0.5505, A=0.72
G5 E700: L=0.5154, A=0.74
G5 E800: L=0.4872, A=0.76
G5 E900: L=0.4513, A=0.78
Done.
