Batch UID: 36fea372
Dev: cpu
Training ROUND
R1 E0: L=2.1314, A=0.50
R1 E100: L=0.0246, A=1.00
R1 E200: L=0.0220, A=1.00
R1 E300: L=0.0211, A=1.00
R1 E400: L=0.0206, A=1.00
R1 E500: L=0.0204, A=1.00
R1 E600: L=0.0205, A=1.00
R1 E700: L=0.0206, A=1.00
R1 E800: L=0.0205, A=1.00
R1 E900: L=0.0202, A=1.00
R2 E0: L=1.2368, A=0.44
R2 E100: L=0.0234, A=1.00
R2 E200: L=0.0217, A=1.00
R2 E300: L=0.0214, A=1.00
R2 E400: L=0.0210, A=1.00
R2 E500: L=0.0209, A=1.00
R2 E600: L=0.0207, A=1.00
R2 E700: L=0.0207, A=1.00
R2 E800: L=0.0206, A=1.00
R2 E900: L=0.0210, A=1.00
R3 E0: L=0.9027, A=0.52
R3 E100: L=0.0222, A=1.00
R3 E200: L=0.0212, A=1.00
R3 E300: L=0.0209, A=1.00
R3 E400: L=0.0209, A=1.00
R3 E500: L=0.0204, A=1.00
R3 E600: L=0.0206, A=1.00
R3 E700: L=0.0201, A=1.00
R3 E800: L=0.0202, A=1.00
R3 E900: L=0.0199, A=1.00
R4 E0: L=1.9090, A=0.49
R4 E100: L=0.0256, A=1.00
R4 E200: L=0.0230, A=1.00
R4 E300: L=0.0217, A=1.00
R4 E400: L=0.0217, A=1.00
R4 E500: L=0.0214, A=1.00
R4 E600: L=0.0210, A=1.00
R4 E700: L=0.0208, A=1.00
R4 E800: L=0.0209, A=1.00
R4 E900: L=0.0208, A=1.00
R5 E0: L=1.3470, A=0.47
R5 E100: L=0.0237, A=1.00
R5 E200: L=0.0222, A=1.00
R5 E300: L=0.0214, A=1.00
R5 E400: L=0.0212, A=1.00
R5 E500: L=0.0208, A=1.00
R5 E600: L=0.0211, A=1.00
R5 E700: L=0.0206, A=1.00
R5 E800: L=0.0209, A=1.00
R5 E900: L=0.0205, A=1.00
Training GRU
G1 E0: L=0.6961, A=0.48
G1 E100: L=0.0126, A=1.00
G1 E200: L=0.0022, A=1.00
G1 E300: L=0.0011, A=1.00
G1 E400: L=0.0007, A=1.00
G1 E500: L=0.0005, A=1.00
G1 E600: L=0.0004, A=1.00
G1 E700: L=0.0003, A=1.00
G1 E800: L=0.0002, A=1.00
G1 E900: L=0.0002, A=1.00
G2 E0: L=0.6962, A=0.50
G2 E100: L=0.0220, A=1.00
G2 E200: L=0.0023, A=1.00
G2 E300: L=0.0011, A=1.00
G2 E400: L=0.0007, A=1.00
G2 E500: L=0.0005, A=1.00
G2 E600: L=0.0003, A=1.00
G2 E700: L=0.0003, A=1.00
G2 E800: L=0.0002, A=1.00
G2 E900: L=0.0002, A=1.00
G3 E0: L=0.7026, A=0.50
G3 E100: L=0.0056, A=1.00
G3 E200: L=0.0019, A=1.00
G3 E300: L=0.0009, A=1.00
G3 E400: L=0.0006, A=1.00
G3 E500: L=0.0004, A=1.00
G3 E600: L=0.0003, A=1.00
G3 E700: L=0.0002, A=1.00
G3 E800: L=0.0002, A=1.00
G3 E900: L=0.0001, A=1.00
G4 E0: L=0.6954, A=0.50
G4 E100: L=0.0135, A=1.00
G4 E200: L=0.0020, A=1.00
G4 E300: L=0.0010, A=1.00
G4 E400: L=0.0006, A=1.00
G4 E500: L=0.0004, A=1.00
G4 E600: L=0.0003, A=1.00
G4 E700: L=0.0002, A=1.00
G4 E800: L=0.0002, A=1.00
G4 E900: L=0.0002, A=1.00
G5 E0: L=0.6950, A=0.50
G5 E100: L=0.0042, A=1.00
G5 E200: L=0.0013, A=1.00
G5 E300: L=0.0007, A=1.00
G5 E400: L=0.0004, A=1.00
G5 E500: L=0.0003, A=1.00
G5 E600: L=0.0002, A=1.00
G5 E700: L=0.0002, A=1.00
G5 E800: L=0.0001, A=1.00
G5 E900: L=0.0001, A=1.00
Done.
