Batch UID: e23df01d
Dev: cuda
Training ROUND
R1 E0: L=0.7492, A=0.62
R1 E100: L=0.0222, A=1.00
R1 E200: L=0.0210, A=1.00
R1 E300: L=0.0208, A=1.00
R1 E400: L=0.0206, A=1.00
R1 E500: L=0.0207, A=1.00
R1 E600: L=0.0206, A=1.00
R1 E700: L=0.0203, A=1.00
R1 E800: L=0.0201, A=1.00
R1 E900: L=0.0205, A=1.00
R2 E0: L=1.0431, A=0.47
R2 E100: L=0.0235, A=1.00
R2 E200: L=0.0219, A=1.00
R2 E300: L=0.0214, A=1.00
R2 E400: L=0.0211, A=1.00
R2 E500: L=0.0207, A=1.00
R2 E600: L=0.0209, A=1.00
R2 E700: L=0.0207, A=1.00
R2 E800: L=0.0206, A=1.00
R2 E900: L=0.0203, A=1.00
R3 E0: L=1.0672, A=0.50
R3 E100: L=0.0230, A=1.00
R3 E200: L=0.0221, A=1.00
R3 E300: L=0.0212, A=1.00
R3 E400: L=0.0212, A=1.00
R3 E500: L=0.0210, A=1.00
R3 E600: L=0.0208, A=1.00
R3 E700: L=0.0212, A=1.00
R3 E800: L=0.0208, A=1.00
R3 E900: L=0.0207, A=1.00
R4 E0: L=1.1601, A=0.44
R4 E100: L=0.0231, A=1.00
R4 E200: L=0.0215, A=1.00
R4 E300: L=0.0214, A=1.00
R4 E400: L=0.0209, A=1.00
R4 E500: L=0.0209, A=1.00
R4 E600: L=0.0210, A=1.00
R4 E700: L=0.0203, A=1.00
R4 E800: L=0.0204, A=1.00
R4 E900: L=0.0201, A=1.00
R5 E0: L=1.7035, A=0.50
R5 E100: L=0.0235, A=1.00
R5 E200: L=0.0217, A=1.00
R5 E300: L=0.0209, A=1.00
R5 E400: L=0.0210, A=1.00
R5 E500: L=0.0210, A=1.00
R5 E600: L=0.0208, A=1.00
R5 E700: L=0.0206, A=1.00
R5 E800: L=0.0205, A=1.00
R5 E900: L=0.0201, A=1.00
Training GRU
G1 E0: L=0.7025, A=0.50
G1 E100: L=0.0050, A=1.00
G1 E200: L=0.0014, A=1.00
G1 E300: L=0.0008, A=1.00
G1 E400: L=0.0005, A=1.00
G1 E500: L=0.0003, A=1.00
G1 E600: L=0.0002, A=1.00
G1 E700: L=0.0002, A=1.00
G1 E800: L=0.0001, A=1.00
G1 E900: L=0.0001, A=1.00
G2 E0: L=0.6961, A=0.50
G2 E100: L=0.0057, A=1.00
G2 E200: L=0.0023, A=1.00
G2 E300: L=0.0011, A=1.00
G2 E400: L=0.0006, A=1.00
G2 E500: L=0.0004, A=1.00
G2 E600: L=0.0003, A=1.00
G2 E700: L=0.0002, A=1.00
G2 E800: L=0.0002, A=1.00
G2 E900: L=0.0002, A=1.00
G3 E0: L=0.6952, A=0.48
G3 E100: L=0.0165, A=1.00
G3 E200: L=0.0058, A=1.00
G3 E300: L=0.0022, A=1.00
G3 E400: L=0.0011, A=1.00
G3 E500: L=0.0006, A=1.00
G3 E600: L=0.0004, A=1.00
G3 E700: L=0.0003, A=1.00
G3 E800: L=0.0002, A=1.00
G3 E900: L=0.0002, A=1.00
G4 E0: L=0.6963, A=0.50
G4 E100: L=0.0062, A=1.00
G4 E200: L=0.0026, A=1.00
G4 E300: L=0.0013, A=1.00
G4 E400: L=0.0008, A=1.00
G4 E500: L=0.0005, A=1.00
G4 E600: L=0.0004, A=1.00
G4 E700: L=0.0003, A=1.00
G4 E800: L=0.0002, A=1.00
G4 E900: L=0.0002, A=1.00
G5 E0: L=0.6972, A=0.50
G5 E100: L=0.0068, A=1.00
G5 E200: L=0.0018, A=1.00
G5 E300: L=0.0009, A=1.00
G5 E400: L=0.0005, A=1.00
G5 E500: L=0.0004, A=1.00
G5 E600: L=0.0003, A=1.00
G5 E700: L=0.0002, A=1.00
G5 E800: L=0.0002, A=1.00
G5 E900: L=0.0001, A=1.00
Done.
